State_UT,State_UT_Code,Fiscal Year,Estimate,Per Capita Expenditure on Health Sector ,Total Health Sector Expenditure,Total Health Sector Expenditure as % of State Budget,Revenue Expenditure as % of Total Health Sector Expenditure,Capital Expenditure (including Loans & Advances ) as % of Total Health Sector Expenditure,,,,,,,,,,,,
Delhi,33,2019-20,Actuals,2881,5745,11.2,93.8,6.2,,,,,,,,,,,,
Delhi,33,2020-21,Budget Estimates,3792,7704,11.9,85.1,14.9,,,,,,,,,,,,
Delhi,33,2020-21,Revised Estimates,3663,7443,12.6,90.9,9.1,,,,,,,,,,,,
Delhi,33,2020-21,Actuals,3153,6407,12.2,91.6,8.4,,,,,,,,,,,,
Delhi,33,2021-22,Budget Estimates,4804,9945,14.4,87.0,13.0,,,,,,,,,,,,
Delhi,33,2021-22,Revised Estimates,5052,10460,15.6,83.4,16.6,,,,,,,,,,,,
Delhi,33,2022-23,Budget Estimates,4680,9781,12.9,77.0,23.0,,,,,,,,,,,,
Goa,6,2016-17,Actuals,4519,683,2.5,91.3,8.7,,,,,,,,,,,,
Goa,6,2017-18,Budget Estimates,6511,990,2.9,82.1,17.9,,,,,,,,,,,,
Goa,6,2017-18,Revised Estimates,6346,965,3.1,84.2,15.8,,,,,,,,,,,,
Goa,6,2017-18,Actuals,6215,945,2.9,91.5,8.5,,,,,,,,,,,,
Goa,6,2018-19,Budget Estimates,6822,1044,3.1,84.1,15.9,,,,,,,,,,,,
Goa,6,2018-19,Revised Estimates,6822,1044,3.1,84.1,15.9,,,,,,,,,,,,
Goa,6,2018-19,Actuals,6561,1004,2.9,88.8,11.2,,,,,,,,,,,,
Goa,6,2019-20,Budget Estimates,9077,1398,3.5,81.3,18.7,,,,,,,,,,,,
Goa,6,2019-20,Revised Estimates,9040,1392,4.0,81.5,18.5,,,,,,,,,,,,
Goa,6,2019-20,Actuals,7307,1125,3.2,86.5,13.5,,,,,,,,,,,,
Goa,6,2020-21,Budget Estimates,9787,1516,4.1,83.0,17.0,,,,,,,,,,,,
Goa,6,2020-21,Revised Estimates,9462,1466,3.7,85.9,14.1,,,,,,,,,,,,
Goa,6,2020-21,Actuals,8071,1250,2.9,90.5,9.5,,,,,,,,,,,,
Goa,6,2021-22,Budget Estimates,11569,1804,3.9,78.5,21.5,,,,,,,,,,,,
Goa,6,2021-22,Revised Estimates,13973,2178,4.5,74.9,25.1,,,,,,,,,,,,
Goa,6,2022-23,Budget Estimates,13315,2086,4.1,83.0,17.0,,,,,,,,,,,,
Gujarat,7,2016-17,Actuals,1183,7744,5.7,80.8,19.2,,,,,,,,,,,,
Gujarat,7,2017-18,Budget Estimates,1322,8777,5.1,80.8,19.2,,,,,,,,,,,,
